"","seq_name","taxonomy_Kingdom","taxonomy_Supergroup","taxonomy_Division","taxonomy_Class","taxonomy_Order","taxonomy_Family","taxonomy_Genus","taxonomy_Species","confidence_Kingdom","confidence_Supergroup","confidence_Division","confidence_Class","confidence_Order","confidence_Family","confidence_Genus","confidence_Species"
"1","ASV_1","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Cystobasidiomycetes","Sporobolomyces","Sporobolomyces_roseus",100,100,100,100,100,69.3448848146466,69.3448848146466,32.5692042215463
"2","ASV_2","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Tremellomycetes","Tremellomycetes_X","Tremellomycetes_X_sp.",100,100,100,95.2390764268869,95.2390764268869,95.2390764268869,87.6829413935497,87.6829413935497
"3","ASV_3","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Dothideomycetes","Cladosporium","Cladosporium_cladosporioides",100,100,100,92.3340327942006,92.3340327942006,69.2435028485355,45.8392480911423,7.96277986773553
"4","ASV_4","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Ustilaginomycotina","Exobasidiomycetes","Malassezia","Malassezia_sp.",100,100,100,100,97.5732747316533,97.5732747316533,64.3844844119789,55.1903347047354
"5","ASV_5","Eukaryota","Rhizaria","Cercozoa","Filosa-Sarcomonadea","Cercomonadida","Paracercomonadidae","Paracercomonas","Paracercomonas_crassicauda",98.4391370581578,98.4391370581578,98.4391370581578,98.4391370581578,98.4391370581578,98.4391370581578,98.4391370581578,90.5144738100605
"6","ASV_6","Eukaryota","Archaeplastida","Streptophyta","Embryophyceae","Embryophyceae_X","Embryophyceae_XX","Dracophyllum","Dracophyllum_longifolium",99.6176164634448,99.6176164634448,99.6176164634448,99.6176164634448,99.6176164634448,99.6176164634448,30.6058206005986,30.6058206005986
"7","ASV_7","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Ustilaginomycotina","Exobasidiomycetes","Malassezia","Malassezia_restricta",100,100,100,100,88.4261837221815,88.4261837221815,49.9958407899323,42.0886471930225
"8","ASV_8","Eukaryota","Archaeplastida","Streptophyta","Embryophyceae","Embryophyceae_X","Embryophyceae_XX","Rhodotypos","Rhodotypos_scandens",100,100,100,100,100,100,5.24718299919284,5.24718299919284
"9","ASV_9","Eukaryota","Alveolata","Apicomplexa","Coccidiomorphea","Eimeriida","Eimeriidae","Eimeria7","Eimeria7_sp.",97.4684836947207,97.4684836947207,97.4684836947207,97.4684836947207,97.4684836947207,97.4684836947207,41.2444366337991,13.6351083523156
"10","ASV_10","Eukaryota","Alveolata","Apicomplexa","Coccidiomorphea","Eimeriida","Eimeriidae","Eimeria7","Eimeria7_leucopi",94.985000884148,94.985000884148,94.985000884148,94.985000884148,94.985000884148,94.985000884148,33.225158107364,7.78701972880757
"11","ASV_11","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Dothideomycetes","Ascochyta","Ascochyta_fabae",100,100,100,100,100,95.9898689943488,14.1348631364002,4.5575981483502
"12","ASV_12","Eukaryota","Opisthokonta","Metazoa","Craniata","Craniata_X","Archosauria","Tyrannus","Tyrannus_tyrannus",100,100,100,100,100,99.0099747220111,10.1730385862726,10.1730385862726
"13","ASV_13","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Ustilaginomycotina","Exobasidiomycetes","Malassezia","Malassezia_sp.",100,100,100,100,100,100,69.0592361542302,36.0517400813785
"14","ASV_14","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Tremellomycetes","Tremellomycetes_X","Tremellomycetes_X_sp.",73.2333762851854,73.2333762851854,73.2333762851854,71.8750633175145,12.7371441047091,12.7371441047091,12.0671626447347,12.0671626447347
"15","ASV_15","Eukaryota","Archaeplastida","Streptophyta","Embryophyceae","Embryophyceae_X","Embryophyceae_XX","Musa","Musa_basjoo",100,100,100,100,100,100,38.5397010702257,23.6287197720539
"16","ASV_16","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Cystobasidiomycetes","Sporobolomyces","Sporobolomyces_roseus",97.4433461011248,97.4433461011248,97.4433461011248,97.4433461011248,97.4433461011248,68.6765951271234,68.6765951271234,28.0418068685826
"17","ASV_17","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Pucciniomycotina_X","Pucciniomycotina_XX","Pucciniomycotina_XX_sp.",74.7217648905553,74.7217648905553,74.7217648905553,74.7217648905553,32.8099447423466,19.8978669485798,19.3523580965329,19.3523580965329
"18","ASV_18","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Ustilaginomycotina","Exobasidiomycetes","Meira","Meira_sp.",99.9999999999999,99.9999999999999,99.9999999999999,99.9999999999999,99.9999999999999,99.9999999999999,96.2081514845404,77.5869088252994
"19","ASV_19","Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycotina","Saccharomycetales","Saccharomyces","Saccharomyces_paradoxus",100,100,98.2348289792279,98.2348289792279,98.2348289792279,98.2348289792279,55.8541554958502,12.3298122707248
"20","ASV_20","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Sordariomycetes","Sirococcus","Sirococcus_conigenus",99.0686582037959,99.0686582037959,99.0686582037959,99.0686582037959,99.0686582037959,94.6509872947058,31.1530708651613,31.1530708651613
"21","ASV_21","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Tremellomycetes","Tremellomycetes_X","Tremellomycetes_X_sp.",99.7696193857382,99.7696193857382,99.7696193857382,96.6993924221183,96.6993924221183,96.6993924221183,93.4062358718758,93.4062358718758
"22","ASV_22","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Dothideomycetes","Sydowia","Sydowia_polyspora",100,100,100,100,100,87.5029824016846,7.1157530317016,7.1157530317016
"23","ASV_23","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Tremellomycetes","Tremellomycetes_X","Tremellomycetes_X_sp.",71.0319442016811,71.0319442016811,71.0319442016811,67.254094523216,31.0057163915502,31.0057163915502,28.3795787689248,28.3795787689248
"24","ASV_24","Eukaryota","Alveolata","Apicomplexa","Gregarinomorphea","Eugregarinorida","Gregarinidae","Gregarina3","Gregarina3_sp.",41.7221912074779,36.6764984575704,36.6764984575704,35.9098578106407,35.9098578106407,35.9098578106407,20.8013580633347,20.8013580633347
"25","ASV_25","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Rogersella","Rogersella_griseliniae",77.9963404466515,77.9963404466515,77.9963404466515,77.4546381963036,77.4546381963036,77.4546381963036,15.8421349325614,15.8421349325614
"26","ASV_26","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Pucciniomycotina_X","Pucciniomycotina_XX","Pucciniomycotina_XX_sp.",73.5967077887112,73.5967077887112,73.5967077887112,73.5967077887112,47.7232590075994,32.2126775728658,32.2126775728658,32.2126775728658
"27","ASV_27","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Pucciniomycotina_X","Pucciniomycotina_XX","Pucciniomycotina_XX_sp.",84.6782745406439,84.6782745406439,84.6782745406439,83.0966538907151,80.6824390874469,56.6334294927183,56.6334294927183,56.6334294927183
"28","ASV_28","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Dothideomycetes","Mycosphaerella","Mycosphaerella_harthensis",100,100,100,100,100,91.1572896729264,28.3365997946711,5.06568580887705
"29","ASV_29","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Dothideomycetes","Floricola","Floricola_striata",99.1640441879791,99.1640441879791,99.1640441879791,99.1640441879791,99.1640441879791,95.2195399271101,74.2198234086588,74.2198234086588
"30","ASV_30","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Cystobasidiomycetes","Rhodotorula","Rhodotorula_bacarum",100,100,100,100,98.4403647248702,98.4403647248702,98.4403647248702,96.7373161689289
"31","ASV_31","Eukaryota","Alveolata","Apicomplexa","Coccidiomorphea","Eimeriida","Eimeriidae","Eimeria7","Eimeria7_sp.",97.1592238749536,97.1592238749536,97.1592238749536,97.1592238749536,97.1592238749536,97.1592238749536,55.9338863848939,36.7770461833039
"32","ASV_32","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Tremellomycetes","Tremellomycetes_X","Tremellomycetes_X_sp.",97.4653259464571,97.4653259464571,97.4653259464571,97.4653259464571,97.4653259464571,97.4653259464571,93.4924866697687,93.4924866697687
