ID,sample_id_blood,sample_id_faeces,sampling_state,sampling_location,sub_species,sample_type
BRO2,B001,F001,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip1_resident
12911,B002,F002,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
12917,B003,F003,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
12927,B004,F004,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
BRO3,B005,F005,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip1_resident
BRO12,B006,F006,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip1_resident
BRO45,B007,F007,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip2_resident
BRO13,B008,F008,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip1_resident
BRO81,B009,F009,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip3_resident
BRO87,B010,F010,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip3_resident
BRO92,B011,F011,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip3_resident
BRO95,B012,F012,NSW,Broughton_Island,Zosterops_lateralis_westernensis,Broughton_trip3_migrant
EAG29,B013,F013,QLD,Eagleby_Wetlands,Zosterops_lateralis_westernensis,Mainland_migrant
EAG38,B014,F014,QLD,Eagleby_Wetlands,Zosterops_lateralis_westernensis,Mainland_migrant
EAG39,B015,F015,QLD,Eagleby_Wetlands,Zosterops_lateralis_lateralis,Mainland_migrant
EAG41,B016,F016,QLD,Eagleby_Wetlands,Zosterops_lateralis_westernensis,Mainland_migrant
EAG45,B017,F017,QLD,Eagleby_Wetlands,Zosterops_lateralis_westernensis,Mainland_migrant
HOB1,B018,F018,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB13,B019,F019,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB14,B020,F020,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB16,B021,F021,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB17,B022,F022,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB18,B023,F023,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB2,B024,F024,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB21,B025,F025,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
